id,province,city,name,rooms,area,price,district,address,status,origin_url
132,河南,郑州,恒基水榭华城,3居,88~100平米,9400元/㎡,[新郑市],东三环与双湖大道交汇处向东200米,在售,https://hengjishuizhuang.fang.com/
133,河南,郑州,郑州华侨城,3居/4居,100~143平米,13200元/㎡,[二七区],郑密路南三环向南2000米,在售,https://huaqiaochengzz.fang.com/
134,河南,郑州,碧桂园天麓,2居/3居/4居,77~135平米,18800元/㎡,[金水区],花园路与国基路交汇处东200米路北,在售,https://tianlubgy0371.fang.com/
135,广东,东莞,碧桂园·玫瑰臻园,2居/3居,82~126平米,16500元/㎡,[常平],东莞市常平镇环常北路旁,在售,https://meiguizhenyuanbgy.fang.com/
136,广东,东莞,融创云玺湾,3居/4居,87~120平米,22500元/㎡,[沙田],海康路穗丰年湿地公园旁,待售,https://yunxiwanrc.fang.com/
137,广东,东莞,华润幸福里,3居/4居,99~125平米,17500元/㎡,[常平],站北路(隐贤山庄西门旁约100米),在售,https://runpingyueyuntaihr.fang.com/
138,福建,罗源,正祥特区文苑,2居/3居,37~110平米,6000元/㎡,[罗源县],江滨南路9号,在售,https://tequwenyuanzx.fang.com/
139,福建,罗源,正荣悦璟台,3居/4居,89~125平米,9584元/㎡,[罗源县],凤山镇罗川中路7号,在售,https://yuejingtaizr.fang.com/
140,福建,罗源,正祥特区·美居,4居,164平米,5500元/㎡,[罗源县],江滨南路开发区管委会东侧,在售,https://zhengxiangtequ.fang.com/
141,福建,永泰,碧桂园·麓府,3居/4居,88~120平米,8500元/㎡,[永泰县],樟城环城路实小旁(实小前行200米),待售,https://luyuanbgy.fang.com/
142,福建,永泰,世茂泰禾青云小镇,2居/3居/4居,53~115平米,180万元/套起,[永泰县],葛岭,在售,https://qingyunxiaozhenth.fang.com/
143,福建,永泰,世茂永泰温泉小镇,3居,89~105平米,7500元/㎡,[永泰县],城峰镇汤洋路66号,待售,https://yongtaiwenquanxiaozhensm.fang.com/
144,福建,永泰,江山大名城,1居/2居/3居,38~109平米,6700元/㎡,[永泰县],大樟溪畔,在售,https://jiangshandamingcheng.fang.com/
145,福建,永泰,恒宇国际观邸,3居/4居,86~115平米,11000元/㎡,[永泰县],刘岐大道综合市场对面,在售,https://hengyuguojiguandi.fang.com/
146,福建,永泰,三迪江山水岸,三迪江山水岸2023年03月,,150万元/套起,[永泰县],葛岭镇大樟溪旁(黄埔大桥桥头),在售,https://jiangshanshuiansd.fang.com/
147,福建,永泰,万科城,1居/2居/3居,64~89平米,6500元/㎡,[葛岭镇],大樟溪,在售,https://yongtaiwankecheng.fang.com/
148,福建,连江,世茂印山海,1居/2居/3居/4居,45~139平米,价格待定,[连江县],福州东·粗芦岛,待售,https://yinshanhaism.fang.com/
149,福建,连江,碧桂园·贵安府,3居,89平米,9840元/㎡,[连江县],福州贵安桂湖溪畔,在售,https://guianfubgy.fang.com/
150,福建,连江,中庚香悦府,4居,128~133平米,14000元/㎡,[连江县],通港大道与金凤路交汇处,在售,https://xiangyuefuzg.fang.com/
151,福建,连江,贵安新天地,2居/3居,70~110平米,9300元/㎡,[连江县],贵安新天地休闲旅游度假区,在售,https://xintiandiga.fang.com/
152,福建,连江,先生的山,1居/2居/3居/4居/5居/5居以上,33~202平米,8500元/㎡,[连江县],贵安潘渡乡仁华社区翠园路4号,在售,https://xianshengdeshan.fang.com/
153,福建,连江,建发双玺书香里,2居/3居/4居,71~114平米,13000元/㎡,[连江县],连江一中(鲤鱼山分校)旁,在售,https://lianjiangjianfashuxiangli.fang.com/
154,福建,连江,华闽御山水,1居/2居/3居,52~109平米,8500元/㎡,[连江县],潘渡乡文峰里,在售,https://yushanshuihm.fang.com/
155,福建,长乐,大广龙湖首开·天宸星座,大广龙湖首开·天宸星座2020年12月,,11000元/㎡,[长乐],长乐区京岭路与福北路交叉口(红星美凯龙...,在售,https://tianchengyuanzhulhsk.fang.com/
156,福建,长乐,长乐澜山,3居/4居,89~127平米,19500元/㎡,[长乐],西洋南路698号,待售,https://changlelanshan.fang.com/
157,福建,长乐,东湖悦海湾,东湖悦海湾均价为：22000元/平方米,,22000元/㎡,[长乐],长乐数字福建产业园东湖路1号,在售,https://dadonghu.fang.com/
158,福建,平潭,平潭恒大名都,3居/4居,108~140平米,8880元/㎡,[平潭县],金井湾大道与安海北路交汇处,在售,https://pingtanhengdamingdu.fang.com/
159,福建,平潭,平潭岚湾·正荣府,3居/4居,105~138平米,15000元/㎡,[平潭县],竹屿湖中路,在售,https://pingtanlanwanzhengrongfu.fang.com/
160,福建,平潭,新力鼎新悦海湾,3居/4居,109~132平米,14300元/㎡,[平潭县],潭城镇翠园北路第二实验小学旁,在售,https://dingxinyuehaiwanxl.fang.com/
161,福建,平潭,新力鼎新金海湾,3居,89~119平米,10000元/㎡,[平潭县],金井湾麒麟小学旁,在售,https://dingxinjinhaiwanxl.fang.com/
162,福建,平潭,融信澜宸,3居/4居,89~125平米,13000元/㎡,[平潭县],高铁会展旁,在售,https://rongxinlanchen0591.fang.com/
163,福建,福州,福州远洋·山水,3居/4居,79~109平米,价格待定,[马尾],三江口大桥旁(邻和平小学),待售,https://fuzhouyuanyangshanshui.fang.com/
164,福建,福州,建发·央著,4居/5居,117~139平米,28000元/㎡,[晋安],涧田湖·公园畔(川捷高尔夫旁),在售,https://jianfayangzhu0591.fang.com/
165,福建,福州,融创福州府,3居/4居,82~124平米,价格待定,[仓山],南二环大道与南台大道交汇处(盖山路82号...,待售,https://fuzhoufurc.fang.com/
166,福建,福州,滨海首府,3居/4居,95~132平米,32000元/㎡,[仓山],"三叉街三高路南侧,连江南路西侧",待售,https://binhaishoufu.fang.com/
167,福建,福州,榕城·江上图,3居/4居,105~160平米,价格待定,[仓山],南江滨生态公园旁,待售,https://rongchengjiangshangtu.fang.com/
